FECHA,Temp_Ponderada_MAX,Temp_Ponderada_MIN
2023-04-01,20.76,9.4
2023-04-02,19.51,6.34
2023-04-03,18.12,6.28
2023-04-04,18.13,6.34
2023-04-05,19.51,4.75
2023-04-06,20.24,6.56
2023-04-07,21.46,6.5
2023-04-08,21.81,7.47
2023-04-09,22.14,8.13
2023-04-10,22.35,9.83
2023-04-11,22.08,9.88
2023-04-12,20.98,9.15
2023-04-13,18.68,7.86
2023-04-14,20.47,8.62
2023-04-15,21.62,9.52
2023-04-16,21.7,8.69
2023-04-17,21.71,7.94
2023-04-18,20.72,8.92
2023-04-19,22.05,8.43
2023-04-20,23.36,9.01
2023-04-21,22.67,10.79
2023-04-22,20.75,11.25
2023-04-23,21.8,11.08
2023-04-24,22.65,11.91
2023-04-25,24.38,12.64
2023-04-26,24.55,13.11
2023-04-27,26.84,13.35
2023-04-28,26.74,14.26
2023-04-29,23.88,14.83
2023-04-30,23.86,14.09
2023-05-01,24.16,12.54
2023-05-02,25.47,11.73
2023-05-03,25.87,13.01
2023-05-04,23.67,13.69
2023-05-05,24.62,12.58
2023-05-06,24.88,12.9
2023-05-07,24.27,14.78
2023-05-08,25.95,13.4
2023-05-09,24.94,14.36
2023-05-10,22.6,13.37
2023-05-11,20.64,11.6
2023-05-12,19.35,9.64
2023-05-13,19.69,8.98
2023-05-14,20.94,10.44
2023-05-15,22.17,11.07
2023-05-16,22.28,11.02
2023-05-17,22.22,9.9
2023-05-18,21.11,10.68
2023-05-19,20.85,11.0
2023-05-20,21.35,10.91
2023-05-21,21.34,11.33
2023-05-22,22.75,13.98
2023-05-23,23.2,13.84
2023-05-24,23.9,14.12
2023-05-25,21.96,13.2
2023-05-26,21.51,12.62
2023-05-27,24.16,14.06
2023-05-28,23.47,14.53
2023-05-29,23.58,14.47
2023-05-30,23.9,14.21
2023-05-31,25.16,14.81
2023-06-01,22.65,14.14
2023-06-02,24.1,14.44
2023-06-03,24.91,14.87
2023-06-04,25.31,15.41
2023-06-05,25.88,15.84
2023-06-06,26.95,16.17
2023-06-07,23.87,17.31
2023-06-08,23.79,16.83
2023-06-09,25.94,17.67
2023-06-10,26.5,17.73
2023-06-11,27.69,17.83
2023-06-12,27.46,17.51
2023-06-13,25.52,16.61
2023-06-14,27.07,16.28
2023-06-15,29.01,17.53
2023-06-16,29.79,18.35
2023-06-17,30.35,19.19
2023-06-18,28.42,19.52
2023-06-19,28.09,18.51
2023-06-20,26.02,17.83
2023-06-21,26.11,17.68
2023-06-22,29.36,18.12
2023-06-23,30.15,19.24
2023-06-24,31.36,19.91
2023-06-25,32.15,20.14
2023-06-26,32.03,20.99
2023-06-27,31.07,20.82
2023-06-28,30.95,20.76
2023-06-29,30.39,19.0
2023-06-30,27.43,17.45
2023-07-01,28.88,17.96
2023-07-02,30.62,19.73
2023-07-03,30.4,20.29
2023-07-04,29.98,19.82
2023-07-05,29.08,19.83
2023-07-06,30.23,19.89
2023-07-07,30.86,19.85
2023-07-08,31.19,19.74
2023-07-09,31.47,19.96
2023-07-10,33.29,20.85
2023-07-11,32.93,22.14
2023-07-12,31.11,21.44
2023-07-13,30.34,20.41
2023-07-14,31.21,20.69
2023-07-15,29.91,20.85
2023-07-16,30.1,20.07
2023-07-17,32.72,20.61
2023-07-18,33.99,21.9
2023-07-19,32.99,22.75
2023-07-20,31.32,21.3
2023-07-21,29.57,20.75
2023-07-22,30.15,20.01
2023-07-23,31.62,20.13
2023-07-24,30.52,20.92
2023-07-25,30.42,19.34
2023-07-26,29.39,18.9
2023-07-27,31.01,19.93
2023-07-28,31.02,19.36
